dataHoraCotacao,dolar_venda
1984-12-01,2978.3636363636365
1985-01-01,3392.2105263157896
1985-02-01,3764.1111111111113
1985-03-01,4160.380952380952
1985-04-01,4717.894736842105
1985-05-01,5236.363636363636
1985-06-01,5734.0
1985-07-01,6220.0
1985-08-01,6711.363636363636
1985-09-01,7461.666666666667
1985-10-01,8186.521739130435
1985-11-01,8928.5
1985-12-01,9912.0
1986-01-01,11310.0
1986-02-01,13029.411764705883
1986-03-01,13.839999999999998
1986-04-01,13.84
1986-05-01,13.84
1986-06-01,13.84
1986-07-01,13.84
1986-08-01,13.84
1986-09-01,13.840000000000002
1986-10-01,13.970434782608695
1986-11-01,14.107499999999998
1986-12-01,14.54595238095238
1987-01-01,15.698285714285714
1987-02-01,18.135650000000002
1987-03-01,21.0063
1987-04-01,23.70657894736842
1987-05-01,30.782400000000003
1987-06-01,39.44019047619048
1987-07-01,44.93386956521739
1987-08-01,47.1302380952381
1987-09-01,49.86571428571429
1987-10-01,53.407380952380954
1987-11-01,59.28925
1987-12-01,67.48147619047619
1988-01-01,77.65465
1988-02-01,90.84094736842106
1988-03-01,107.13763636363636
1988-04-01,125.68578947368422
1988-05-01,150.6385
1988-06-01,178.30318181818183
1988-07-01,215.8261904761905
1988-08-01,267.40608695652173
1988-09-01,326.2352380952381
1988-10-01,411.69684210526316
1988-11-01,526.1533333333334
1988-12-01,666.5433333333333
1989-01-01,367.21818181818185
1989-02-01,1.0
1989-03-01,1.0
1989-04-01,1.015157894736842
1989-05-01,1.098857142857143
1989-06-01,1.3372272727272727
1989-07-01,1.914238095238095
1989-08-01,2.475
1989-09-01,3.26705
1989-10-01,4.490238095238095
1989-11-01,6.248
1989-12-01,9.148421052631578
1990-01-01,14.185
1990-02-01,23.660666666666668
1990-03-01,37.70121052631579
1990-04-01,47.88957894736842
1990-05-01,52.22986363636364
1990-06-01,57.116099999999996
1990-07-01,66.5174090909091
1990-08-01,71.75665217391304
1990-09-01,75.54063157894737
1990-10-01,95.16499999999999
1990-11-01,123.133
1990-12-01,154.58631578947367
1991-01-01,192.18347826086958
1991-02-01,221.7564705882353
1991-03-01,230.08526315789473
1991-04-01,252.17545454545453
1991-05-01,272.97714285714284
1991-06-01,297.871
1991-07-01,328.9217391304348
1991-08-01,371.2827272727273
1991-09-01,428.95095238095234
1991-10-01,583.8521739130435
1991-11-01,740.367
1991-12-01,957.8738095238094
1992-01-01,1197.3772727272726
1992-02-01,1478.655
1992-03-01,1814.5185000000001
1992-04-01,2196.7842105263157
1992-05-01,2628.6425
1992-06-01,3149.766666666667
1992-07-01,3829.195652173913
1992-08-01,4672.142857142857
1992-09-01,5771.523809523809
1992-10-01,7214.9
1992-11-01,9046.7975
1992-12-01,11150.875
1993-01-01,14059.142499999998
1993-02-01,17868.591666666667
1993-03-01,22469.245652173915
1993-04-01,28728.94210526316
1993-05-01,37040.30952380953
1993-06-01,48106.45952380953
1993-07-01,62773.23636363636
1993-08-01,82.73986363636364
1993-09-01,111.18909523809523
1993-10-01,151.22475
1993-11-01,205.80145
1993-12-01,279.3852173913043
1994-01-01,390.8445238095238
1994-02-01,550.8066666666667
1994-03-01,768.1202727272728
1994-04-01,1109.5643684210524
1994-05-01,1585.475
1994-06-01,2296.2561904761906
1994-07-01,0.9332857142857143
1994-08-01,0.8986086956521738
1994-09-01,0.8651904761904762
1994-10-01,0.8459999999999999
1994-11-01,0.84175
1994-12-01,0.8501363636363636
1995-01-01,0.8471363636363637
1995-02-01,0.84075
1995-03-01,0.8893695652173913
1995-04-01,0.9075294117647059
1995-05-01,0.8973636363636364
1995-06-01,0.9140476190476191
1995-07-01,0.9287619047619048
1995-08-01,0.9419565217391304
1995-09-01,0.95275
1995-10-01,0.9596809523809524
1995-11-01,0.9633749999999999
1995-12-01,0.9682850000000001
1996-01-01,0.9744772727272728
1996-02-01,0.981078947368421
1996-03-01,0.9861190476190477
1996-04-01,0.99025
1996-05-01,0.9952818181818182
1996-06-01,1.0013315789473685
1996-07-01,1.0069347826086956
1996-08-01,1.0134136363636363
1996-09-01,1.0192904761904762
1996-10-01,1.0251136363636364
1996-11-01,1.030385
1996-12-01,1.0373190476190477
1997-01-01,1.042868181818182
1997-02-01,1.0492666666666668
1997-03-01,1.0566526315789473
1997-04-01,1.0609
1997-05-01,1.06827
1997-06-01,1.0745952380952382
1997-07-01,1.0806521739130435
1997-08-01,1.0878666666666665
1997-09-01,1.093590909090909
1997-10-01,1.1000565217391305
1997-11-01,1.107315
1997-12-01,1.1135772727272728
1998-01-01,1.1199333333333332
1998-02-01,1.1271222222222221
1998-03-01,1.1337000000000002
1998-04-01,1.1411947368421054
1998-05-01,1.1481299999999999
1998-06-01,1.1545714285714286
1998-07-01,1.161491304347826
1998-08-01,1.1717238095238096
1998-09-01,1.1808857142857143
1998-10-01,1.1883666666666666
1998-11-01,1.19367
1998-12-01,1.2053500000000001
1999-01-01,1.501915
1999-02-01,1.9136833333333334
1999-03-01,1.8968217391304347
1999-04-01,1.6940684210526316
1999-05-01,1.6835142857142857
1999-06-01,1.7654190476190474
1999-07-01,1.8003136363636365
1999-08-01,1.88075
1999-09-01,1.8980571428571429
1999-10-01,1.96951
1999-11-01,1.9298899999999999
1999-12-01,1.8428304347826088
2000-01-01,1.8037238095238095
2000-02-01,1.7752904761904762
2000-03-01,1.7420333333333335
2000-04-01,1.7681684210526314
2000-05-01,1.8279318181818183
2000-06-01,1.8083285714285713
2000-07-01,1.7978238095238095
2000-08-01,1.8092391304347826
2000-09-01,1.8391899999999999
2000-10-01,1.8796380952380953
2000-11-01,1.94801
2000-12-01,1.96325
2001-01-01,1.954509090909091
2001-02-01,2.0018555555555557
2001-03-01,2.08905
2001-04-01,2.192455
2001-05-01,2.297231818181818
2001-06-01,2.375825
2001-07-01,2.466022727272727
2001-08-01,2.510630434782609
2001-09-01,2.671663157894737
2001-10-01,2.740172727272727
2001-11-01,2.543065
2001-12-01,2.3627
2002-01-01,2.377931818181818
2002-02-01,2.4196
2002-03-01,2.346645
2002-04-01,2.3204
2002-05-01,2.4803619047619048
2002-06-01,2.713975
2002-07-01,2.9346347826086956
2002-08-01,3.110109090909091
2002-09-01,3.3420428571428573
2002-10-01,3.8059304347826086
2002-11-01,3.5764000000000005
2002-12-01,3.6259190476190475
2003-01-01,3.4383545454545454
2003-02-01,3.590755
2003-03-01,3.44688947368421
2003-04-01,3.1186700000000003
2003-05-01,2.955742857142857
2003-06-01,2.8832050000000002
2003-07-01,2.8798304347826083
2003-08-01,3.002542857142857
2003-09-01,2.9228454545454543
2003-10-01,2.8615
2003-11-01,2.9138
2003-12-01,2.9252545454545453
2004-01-01,2.8518333333333334
2004-02-01,2.930311111111111
2004-03-01,2.9054565217391306
2004-04-01,2.9059850000000003
2004-05-01,3.100419047619048
2004-06-01,3.1291476190476186
2004-07-01,3.0367772727272726
2004-08-01,3.0029136363636364
2004-09-01,2.891147619047619
2004-10-01,2.852855
2004-11-01,2.78604
2004-12-01,2.7181608695652173
2005-01-01,2.6930238095238095
2005-02-01,2.597838888888889
2005-03-01,2.7047363636363637
2005-04-01,2.57918
2005-05-01,2.452814285714286
2005-06-01,2.4135136363636365
2005-07-01,2.3735095238095236
2005-08-01,2.3606304347826086
2005-09-01,2.2944095238095237
2005-10-01,2.25645
2005-11-01,2.2108350000000003
2005-12-01,2.285481818181818
2006-01-01,2.273868181818182
2006-02-01,2.161922222222222
2006-03-01,2.1519608695652175
2006-04-01,2.1292888888888886
2006-05-01,2.1781
2006-06-01,2.2482904761904763
2006-07-01,2.1892809523809524
2006-08-01,2.155882608695652
2006-09-01,2.168745
2006-10-01,2.1482809523809525
2006-11-01,2.1579
2006-12-01,2.14992
2007-01-01,2.1384772727272727
2007-02-01,2.09625
2007-03-01,2.0886772727272724
2007-04-01,2.032035
2007-05-01,1.9816136363636365
2007-06-01,1.93187
2007-07-01,1.8828181818181817
2007-08-01,1.9660130434782608
2007-09-01,1.899578947368421
2007-10-01,1.8010409090909092
2007-11-01,1.769925
2007-12-01,1.7859850000000002
2008-01-01,1.774259090909091
2008-02-01,1.727742105263158
2008-03-01,1.70758
2008-04-01,1.6889285714285716
2008-05-01,1.660535
2008-06-01,1.618857142857143
2008-07-01,1.5914130434782607
2008-08-01,1.6123142857142858
2008-09-01,1.7995681818181817
2008-10-01,2.1728521739130433
2008-11-01,2.26629
2008-12-01,2.3944136363636366
2009-01-01,2.307442857142857
2009-02-01,2.3126722222222225
2009-03-01,2.313836363636364
2009-04-01,2.20585
2009-05-01,2.060905
2009-06-01,1.9575571428571428
2009-07-01,1.9327521739130433
2009-08-01,1.8451809523809526
2009-09-01,1.819795238095238
2009-10-01,1.7384190476190475
2009-11-01,1.7261600000000001
2009-12-01,1.7503136363636365
2010-01-01,1.7798200000000002
2010-02-01,1.8416333333333332
2010-03-01,1.7858434782608694
