InicioPeriodo,FimPeriodo,Modalidade,InstituicaoFinanceira,TaxaJurosAoAno
2026-07-01,2026-07-31,Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR,BANCO INTER,12.5
2026-07-01,2026-07-31,Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR,BCO DO BRASIL S.A.,14.42
2026-07-01,2026-07-31,Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR,BCO DO EST. DO PA S.A.,18.91
2026-07-01,2026-07-31,Financiamento imobiliário com taxas reguladas - Prefixado,CAIXA ECONOMICA FEDERAL,10.88
2026-07-01,2026-07-31,Financiamento imobiliário com taxas reguladas - Prefixado,APE POUPEX,14.41
2026-07-01,2026-07-31,Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em IPCA,CAIXA ECONOMICA FEDERAL,4.84
2026-07-01,2026-07-31,Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em IPCA,BCO DO BRASIL S.A.,10.64
2026-07-01,2026-07-31,Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em TR,CAIXA ECONOMICA FEDERAL,8.09
2026-07-01,2026-07-31,Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em TR,BANCO INTER,9.65
2026-07-01,2026-07-31,Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em TR,BCO DO ESTADO DO RS S.A.,9.86
2026-07-01,2026-07-31,Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em TR,BANCO SICOOB S.A.,9.87
2026-07-01,2026-07-31,Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em TR,BCO DO BRASIL S.A.,10.24
2026-07-01,2026-07-31,Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em TR,BANCO COOPERATIVO SICREDI,10.27
2026-07-01,2026-07-31,Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em TR,BCO DO EST. DO PA S.A.,10.36
2026-07-01,2026-07-31,Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em TR,APE POUPEX,10.44
2026-07-01,2026-07-31,Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em TR,BCO DO EST. DE SE S.A.,10.48
2026-07-01,2026-07-31,Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em TR,BCO BANESTES S.A.,10.62
2026-07-01,2026-07-31,Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em TR,BRB - BCO DE BRASILIA S.A.,11.03
2026-07-01,2026-07-31,Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em TR,BCO BRADESCO S.A.,11.76
2026-07-01,2026-07-31,Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em TR,BCO SANTANDER (BRASIL) S.A.,11.82
2026-07-01,2026-07-31,Financiamento imobiliário com taxas reguladas - Pós-fixado referenciado em TR,ITAÚ UNIBANCO S.A.,11.86
2026-08-01,2026-08-31,Financiamento imobiliário com taxas de mercado - Prefixado,CAIXA ECONOMICA FEDERAL,10.76
2026-08-01,2026-08-31,Financiamento imobiliário com taxas de mercado - Prefixado,BCO SANTANDER (BRASIL) S.A.,15.12
2026-08-01,2026-08-31,Financiamento imobiliário com taxas de mercado - Prefixado,APE POUPEX,16.95
2026-08-01,2026-08-31,Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em IPCA,BARI CIA HIPOTECÁRIA,0.0
2026-08-01,2026-08-31,Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em IPCA,BCO RODOBENS S.A.,0.0
2026-08-01,2026-08-31,Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em IPCA,ECONOMISA,0.0
